ticker,company_name,sector,industry,price,market_cap_mm,ev_mm,pe_trailing,pe_forward,ev_ebitda,revenue_mm,op_margin,profit_margin,rev_growth,fcf_mm,net_debt_mm,beta_raw,wacc,cost_of_equity,beta_relevered,beta_unlevered,size_premium,equity_weight,peers_used,iv_bear,iv_base,iv_bull,upside_base_pct,upside_bear_pct,upside_bull_pct,margin_of_safety,growth_near,growth_mid,growth_source,ebit_margin_used,ebit_margin_source,capex_pct_used,capex_source,da_pct_used,da_source,tax_rate_used,tax_source,exit_multiple_used,tv_pct_of_ev,implied_growth_pct,tv_high_flag,analyst_target,analyst_recommendation,num_analysts
CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,79.81,2276.0,2608.0,40.30808,14.597164,13.486,1223.0,13.0,4.6,2.0,214.0,397.0,0.9,9.12,10.0,0.9,0.79,1.0,85.0,CSGS (self),30.96,71.89,118.0,-9.9,-61.2,47.9,-11.0,2.3,1.5,3yr_cagr,11.8,3yr_avg,1.82,3yr_avg,6.02,3yr_avg,29.8,3yr_avg,20.0,59.0,3.6,False,80.7,none,3
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,131.53,6712.0,6164.0,17.374504,14.267767,12.131,1973.0,26.3,20.5,4.5,471.0,-685.0,1.124,11.12,11.12,1.12,1.12,1.0,100.0,CRUS (self),62.55,112.12,167.27,-14.8,-52.4,27.2,-17.3,2.0,1.3,3yr_cagr,19.7,3yr_avg,1.86,3yr_avg,3.05,3yr_avg,26.9,3yr_avg,20.0,63.0,4.7,False,146.33333,buy,6
FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,35.34,3308.0,3136.0,17.75628,17.16166,12.149,1200.0,20.1,15.6,-1.0,110.0,-203.0,0.719,9.1,9.1,0.72,0.72,1.0,100.0,FIZZ (self),15.5,29.88,45.55,-15.4,-56.1,28.9,-18.3,2.0,1.3,3yr_cagr,17.9,3yr_avg,2.48,3yr_avg,1.71,3yr_avg,23.5,3yr_avg,15.0,61.0,4.7,False,35.0,none,1
OLED,Universal Display Corporation,Technology,Electronic Components,97.97,4658.0,4123.0,19.286417,17.52464,13.968,651.0,38.5,37.2,6.6,68.0,-578.0,1.634,13.67,13.67,1.63,1.63,1.0,100.0,OLED (self),40.41,82.77,137.79,-15.5,-58.8,40.6,-18.4,6.2,4.1,3yr_cagr,37.6,3yr_avg,12.91,3yr_avg,7.17,3yr_avg,17.8,3yr_avg,20.0,68.0,9.2,False,154.44444,buy,9
LMAT,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,105.24,2397.0,2244.0,41.761906,33.330166,30.524,250.0,21.8,23.1,15.7,47.0,-174.0,0.683,8.91,8.91,0.68,0.68,1.0,100.0,LMAT (self),36.19,87.98,176.78,-16.4,-65.6,68.0,-19.6,13.6,8.8,3yr_cagr,23.4,3yr_avg,3.21,3yr_avg,4.49,3yr_avg,23.2,3yr_avg,18.0,71.0,16.6,False,111.0,buy,8
PLUS,ePlus inc.,Technology,Software - Application,78.17,2066.0,1910.0,13.95625,13.498273,8.449,2407.0,7.1,5.5,24.6,46.0,-193.0,1.002,10.51,10.51,1.0,1.0,1.0,100.0,PLUS (self),15.93,64.13,116.65,-18.0,-79.6,49.2,-21.9,2.0,1.3,3yr_cagr,7.5,3yr_avg,6.0,sector_default,1.16,3yr_avg,27.5,3yr_avg,20.0,104.0,4.7,True,126.0,none,1
ITRI,"Itron, Inc.",Technology,Scientific & Technical Instruments,92.85,4173.0,4385.0,14.2846155,13.549522,12.086,2367.0,13.9,12.7,-6.7,268.0,263.0,1.521,12.61,13.11,1.52,1.45,1.0,94.0,ITRI (self),32.87,75.17,126.56,-19.0,-64.6,36.3,-23.5,4.4,2.8,3yr_cagr,10.7,3yr_avg,1.15,3yr_avg,2.32,3yr_avg,16.5,3yr_avg,20.0,61.0,7.4,False,138.22221,buy,9
URBN,"Urban Outfitters, Inc.",Consumer Cyclical,Apparel Retail,63.45,5691.0,6416.0,12.538538,9.904475,8.715,6165.0,8.8,7.5,10.1,215.0,530.0,1.213,10.98,11.56,1.21,1.13,1.0,91.0,URBN (self),10.89,50.85,104.69,-19.9,-82.8,65.0,-24.8,7.6,4.9,3yr_cagr,6.9,3yr_avg,3.77,3yr_avg,2.07,3yr_avg,24.0,3yr_avg,14.0,75.0,10.5,True,83.25,buy,12
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Consumer Defensive,Discount Stores,107.75,6609.0,7184.0,29.847647,23.771282,21.458,2537.0,9.0,8.8,18.6,84.0,485.0,0.529,7.91,8.14,0.53,0.5,1.0,93.0,OLLI (self),18.37,84.71,191.23,-21.4,-83.0,77.5,-27.2,11.5,7.5,3yr_cagr,10.4,3yr_avg,4.68,3yr_avg,1.72,3yr_avg,24.4,3yr_avg,15.0,80.0,14.7,True,141.4,buy,15
OTTR,Otter Tail Corporation,Industrials,Conglomerates,89.21,3743.0,4435.0,13.619846,16.408941,9.582,1304.0,22.2,21.2,1.6,-26.0,690.0,0.522,7.37,8.11,0.52,0.46,1.0,84.0,OTTR (self),4.23,68.86,136.56,-22.8,-95.3,53.1,-29.6,2.0,1.3,3yr_cagr,27.7,3yr_avg,23.44,3yr_avg,8.12,3yr_avg,17.1,3yr_avg,14.0,82.0,4.9,True,83.0,buy,1
PSMT,"PriceSmart, Inc.",Consumer Defensive,Discount Stores,144.41,4450.0,4419.0,29.470407,21.585201,13.247,5395.0,4.6,2.8,9.9,90.0,12.0,0.754,9.25,9.27,0.75,0.75,1.0,100.0,PSMT (self),22.01,111.43,243.63,-22.8,-84.8,68.7,-29.6,9.3,6.0,3yr_cagr,4.5,3yr_avg,3.22,3yr_avg,1.67,3yr_avg,31.6,3yr_avg,15.0,92.0,12.8,True,143.0,none,3
COCO,"The Vita Coco Company, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,51.44,2936.0,2843.0,43.226887,26.885063,33.952,610.0,8.1,11.7,0.4,19.0,-182.0,0.358,7.29,7.29,0.36,0.36,1.0,100.0,COCO (self),15.44,38.43,74.65,-25.3,-70.0,45.1,-33.9,11.2,7.2,3yr_cagr,13.1,3yr_avg,4.0,sector_default,3.0,sector_default,21.2,3yr_avg,15.0,71.0,15.9,False,60.88889,buy,9
CVLT,"Commvault Systems, Inc.",Technology,Software - Application,86.95,3834.0,3765.0,45.286457,18.027899,34.561,1147.0,10.1,7.6,19.5,247.0,-106.0,0.593,8.46,8.46,0.59,0.59,1.0,100.0,CVLT (self),15.23,60.53,136.8,-30.4,-82.5,57.3,-43.6,12.7,8.2,3yr_cagr,8.4,3yr_avg,6.0,sector_default,1.01,3yr_avg,6.1,3yr_avg,20.0,90.0,18.0,True,140.33333,none,12
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,88.51,7225.0,7568.0,73.14876,29.881838,33.348,1442.0,4.0,7.5,16.8,-236.0,37.0,1.13,11.12,11.15,1.13,1.13,1.0,99.0,AAON (self),12.12,61.21,150.41,-30.8,-86.3,69.9,-44.6,16.2,10.5,3yr_cagr,17.1,3yr_avg,11.89,3yr_avg,4.0,sector_default,19.4,3yr_avg,14.0,83.0,21.7,True,122.75,strong_buy,4
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,66.36,5106.0,6540.0,20.29358,14.629823,10.121,7434.0,5.2,3.5,-11.8,389.0,1230.0,0.873,8.46,9.87,0.87,0.73,1.0,81.0,RUSHA (self),-4.6,45.08,96.8,-32.1,-106.9,45.9,-47.2,2.0,1.3,3yr_cagr,5.9,3yr_avg,5.19,3yr_avg,3.07,3yr_avg,23.7,3yr_avg,14.0,81.0,5.8,True,78.66667,none,3
POOL,Pool Corporation,Industrials,Industrial Distribution,213.86,7981.0,9447.0,19.710194,17.976952,14.967,5289.0,5.3,7.7,-0.5,203.0,1430.0,1.247,10.32,11.73,1.25,1.09,1.0,85.0,POOL (self),50.06,141.43,240.1,-33.9,-76.6,12.3,-51.2,2.0,1.3,3yr_cagr,12.0,3yr_avg,1.09,3yr_avg,0.85,3yr_avg,23.8,3yr_avg,14.0,59.0,7.2,False,266.0909,buy,11
FTDR,"Frontdoor, Inc.",Consumer Cyclical,Personal Services,66.08,4814.0,5456.0,18.93553,13.329312,11.181,2093.0,3.0,12.2,13.4,319.0,645.0,1.325,11.0,12.12,1.32,1.2,1.0,88.0,FTDR (self),14.68,43.49,79.34,-34.2,-77.8,20.1,-52.0,5.3,3.5,3yr_cagr,14.3,3yr_avg,2.11,3yr_avg,2.08,3yr_avg,24.2,3yr_avg,14.0,60.0,10.9,False,71.75,buy,4
CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,Food Distribution,62.33,2536.0,3427.0,37.099884,25.121946,15.043,4150.0,4.7,1.7,10.5,69.0,854.0,1.283,9.76,11.92,1.28,1.01,1.0,75.0,CHEF (self),-0.5,39.47,99.62,-36.7,-100.8,59.8,-57.9,9.9,6.5,3yr_cagr,3.3,3yr_avg,1.33,3yr_avg,1.74,3yr_avg,32.7,3yr_avg,15.0,73.0,14.7,False,77.125,strong_buy,8
MZTI,The Marzetti Company,Consumer Defensive,Packaged Foods,162.43,4467.0,0.0,24.886675,21.99648,,1945.0,10.6,9.3,20.2,161.0,0.0,0.415,7.58,7.58,0.41,0.41,1.0,100.0,MZTI (self),44.48,102.37,166.13,-37.0,-72.6,2.3,-58.7,2.4,1.5,3yr_cagr,10.8,3yr_avg,3.87,3yr_avg,3.02,3yr_avg,22.2,3yr_avg,15.0,66.0,9.1,False,195.2,none,5
TTEK,"Tetra Tech, Inc.",Industrials,Engineering & Construction,34.38,8967.0,9953.0,25.849625,20.144491,15.11,4457.0,12.9,7.9,-13.4,416.0,789.0,0.92,9.55,10.1,0.92,0.86,1.0,92.0,TTEK (self),3.06,21.42,48.98,-37.7,-91.1,42.5,-60.5,9.7,6.3,3yr_cagr,10.1,3yr_avg,5.0,sector_default,1.28,3yr_avg,31.4,3yr_avg,14.0,85.0,15.7,True,43.5,none,6
SHC,Sotera Health Company,Healthcare,Diagnostics & Research,14.76,4198.0,6214.0,54.666664,14.10308,11.23,1164.0,35.8,6.7,4.6,237.0,1931.0,1.876,11.9,14.88,1.88,1.38,1.0,68.0,SHC (self),-0.47,9.08,20.82,-38.5,-103.2,41.1,-62.6,5.3,3.5,3yr_cagr,28.2,3yr_avg,16.21,3yr_avg,13.89,3yr_avg,21.0,us_default,18.0,65.0,9.9,False,20.75,buy,8
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,547.67,4275.0,4166.0,23.80139,21.9068,16.549,2203.0,9.9,8.4,11.3,112.0,-200.0,1.277,11.88,11.88,1.28,1.28,1.0,100.0,CVCO (self),172.25,324.42,486.13,-40.8,-68.5,-11.2,-68.8,2.0,1.3,3yr_cagr,11.1,3yr_avg,1.36,3yr_avg,0.93,3yr_avg,20.4,3yr_avg,14.0,57.0,10.7,False,587.5,none,2
BELFB,Bel Fuse Inc.,Technology,Electronic Components,195.95,2480.0,2822.0,42.139782,22.38789,21.139,675.0,16.2,9.1,17.4,57.0,165.0,1.183,11.03,11.42,1.18,1.12,1.0,94.0,BELFB (self),48.46,116.03,192.97,-40.8,-75.3,-1.5,-68.9,2.8,1.8,3yr_cagr,14.5,3yr_avg,2.1,3yr_avg,3.03,3yr_avg,17.9,3yr_avg,20.0,62.0,9.9,False,261.33334,strong_buy,6
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,15.47,3684.0,3731.0,25.783333,11.210145,18.7,510.0,45.1,28.8,18.4,-18.0,-8.0,0.593,8.46,8.46,0.59,0.59,1.0,100.0,ADMA (self),1.59,9.08,28.73,-41.3,-89.7,85.7,-70.4,30.0,19.5,3yr_cagr,5.1,3yr_avg,4.32,3yr_avg,3.24,3yr_avg,21.0,us_default,18.0,88.0,38.7,True,25.66667,strong_buy,3
PLXS,Plexus Corp.,Technology,Electronic Components,183.88,4925.0,5070.0,28.597202,21.344168,17.647,4127.0,5.1,4.3,9.6,32.0,-56.0,0.792,9.46,9.46,0.79,0.79,1.0,100.0,PLXS (self),44.46,106.44,173.82,-42.1,-75.8,-5.5,-72.8,2.0,1.3,3yr_cagr,5.0,3yr_avg,2.41,3yr_avg,1.85,3yr_avg,11.8,3yr_avg,20.0,71.0,10.0,False,200.8,buy,5
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,149.88,9032.0,8557.0,41.633335,25.671507,29.604,1081.0,15.8,20.3,16.6,312.0,-241.0,1.069,10.85,10.85,1.07,1.07,1.0,100.0,MANH (self),33.23,83.98,156.21,-44.0,-77.8,4.2,-78.5,7.9,5.1,3yr_cagr,24.6,3yr_avg,6.0,sector_default,0.6,3yr_avg,19.5,3yr_avg,20.0,75.0,16.8,False,212.72726,buy,11
LIF,"Life360, Inc.",Technology,Software - Application,45.77,3588.0,3415.0,123.689186,26.7796,106.193,489.0,6.1,30.8,26.4,63.0,-184.0,0.996,10.48,10.48,1.0,1.0,1.0,100.0,LIF (self),5.92,25.61,75.11,-44.0,-87.1,64.1,-78.7,27.6,17.9,3yr_cagr,6.1,ttm,6.0,sector_default,3.34,3yr_avg,21.0,us_default,20.0,94.0,37.4,True,76.80556,strong_buy,9
IRDM,Iridium Communications Inc.,Communication Services,Telecom Services,23.89,2507.0,4208.0,22.538208,18.237022,9.431,872.0,25.9,13.1,0.0,246.0,1694.0,0.586,6.63,8.43,0.59,0.38,1.0,60.0,IRDM (self),-5.46,13.28,36.68,-44.4,-122.9,53.5,-79.9,5.0,3.2,3yr_cagr,20.5,3yr_avg,9.74,3yr_avg,4.0,sector_default,15.1,3yr_avg,16.0,73.0,9.4,False,29.0,buy,8
PEGA,Pegasystems Inc.,Technology,Software - Application,46.83,7947.0,7646.0,21.983568,15.408587,25.65,1746.0,24.9,22.5,2.7,572.0,-350.0,1.116,11.08,11.08,1.12,1.12,1.0,100.0,PEGA (self),7.96,23.74,48.38,-49.3,-83.0,3.3,-97.2,10.4,6.8,3yr_cagr,11.4,3yr_avg,6.0,sector_default,2.09,3yr_avg,29.7,3yr_avg,20.0,86.0,20.8,True,59.63636,strong_buy,11
EXPO,"Exponent, Inc.",Industrials,Engineering & Construction,70.98,3585.0,3521.0,34.96557,26.168842,27.115,537.0,22.5,19.8,4.5,95.0,-139.0,0.775,9.38,9.38,0.78,0.78,1.0,100.0,EXPO (self),18.16,35.97,57.5,-49.3,-74.4,-19.0,-97.3,4.3,2.8,3yr_cagr,23.2,3yr_avg,2.21,3yr_avg,1.59,3yr_avg,24.9,3yr_avg,14.0,61.0,15.4,False,91.66667,none,3
BLKB,"Blackbaud, Inc.",Technology,Software - Application,47.98,2295.0,3311.0,20.244726,8.190509,12.737,1128.0,11.9,10.2,-2.3,167.0,1080.0,1.113,9.06,11.06,1.11,0.81,1.0,68.0,BLKB (self),0.5,23.87,48.86,-50.3,-99.0,1.8,-101.0,2.0,1.3,3yr_cagr,10.9,3yr_avg,5.7,3yr_avg,9.36,3yr_avg,12.8,3yr_avg,20.0,56.0,8.3,False,59.8,none,5
WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,233.43,3158.0,3234.0,35.476063,35.58422,29.356,621.0,15.1,14.4,0.6,62.0,53.0,0.173,6.31,6.37,0.17,0.17,1.0,98.0,WDFC (self),37.1,115.88,222.1,-50.4,-84.1,-4.9,-101.4,7.4,4.8,3yr_cagr,16.6,3yr_avg,6.0,sector_default,1.48,3yr_avg,18.9,3yr_avg,11.0,69.0,17.7,False,264.5,none,2
SFD,"Smithfield Foods, Inc.",Consumer Defensive,Packaged Foods,24.18,9503.0,11412.0,10.889639,10.040202,7.315,15256.0,8.1,5.7,12.4,318.0,1618.0,,9.87,11.17,1.13,1.0,1.0,85.0,market (fallback),2.05,11.02,20.38,-54.4,-91.5,-15.7,-119.4,2.0,1.3,3yr_cagr,3.6,3yr_avg,2.32,3yr_avg,2.68,3yr_avg,23.8,3yr_avg,15.0,64.0,11.3,False,29.35714,buy,7
BCPC,Balchem Corporation,Basic Materials,Specialty Chemicals,173.1,5606.0,5733.0,36.520042,28.4992,22.506,1037.0,19.8,14.9,9.8,136.0,106.0,0.938,10.08,10.19,0.94,0.92,1.0,98.0,BCPC (self),33.86,76.83,130.13,-55.6,-80.4,-24.8,-125.3,6.0,3.9,3yr_cagr,18.9,3yr_avg,4.01,3yr_avg,5.13,3yr_avg,22.0,3yr_avg,11.0,52.0,18.9,False,200.5,buy,4
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,21.78,3713.0,3052.0,9.469565,24.077473,26.178,1072.0,6.1,36.5,9.4,-55.0,-767.0,0.807,9.54,9.54,0.81,0.81,1.0,100.0,ACAD (self),3.54,8.63,20.23,-60.4,-83.7,-7.1,-152.4,21.4,13.9,3yr_cagr,2.8,3yr_avg,5.0,sector_default,1.17,3yr_avg,12.2,3yr_avg,18.0,158.0,40.7,True,31.85,buy,20
CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,Restaurants,60.69,3026.0,4676.0,19.833334,13.702279,14.036,3752.0,7.0,4.0,4.4,119.0,1914.0,0.953,8.12,10.27,0.95,0.64,1.0,61.0,CAKE (self),-18.37,22.1,69.36,-63.6,-130.3,14.3,-174.6,4.4,2.9,3yr_cagr,6.0,3yr_avg,4.3,3yr_avg,2.82,3yr_avg,8.6,3yr_avg,14.0,69.0,11.7,False,64.66667,hold,18
TMDX,"TransMedics Group, Inc.",Healthcare,Medical Devices,131.32,4505.0,4836.0,26.965094,36.213722,35.961,605.0,13.2,31.4,32.2,94.0,31.0,1.955,15.19,15.28,1.96,1.94,1.0,99.0,TMDX (self),5.68,39.05,124.33,-70.3,-95.7,-5.3,-236.3,30.0,19.5,3yr_cagr,4.9,3yr_avg,5.0,sector_default,4.12,3yr_avg,21.0,us_default,18.0,85.0,,True,157.54546,buy,11
LSTR,"Landstar System, Inc.",Industrials,Integrated Freight & Logistics,151.72,5211.0,5115.0,45.977276,22.687681,22.402,4757.0,2.7,2.4,-2.9,176.0,-318.0,0.812,9.56,9.56,0.81,0.81,1.0,100.0,LSTR (self),1.71,43.59,87.1,-71.3,-98.9,-42.6,-248.1,2.0,1.3,3yr_cagr,4.9,3yr_avg,5.0,sector_default,1.08,3yr_avg,23.5,3yr_avg,14.0,133.0,19.1,True,151.26666,hold,15
HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,147.95,3092.0,3408.0,37.455696,35.437122,20.511,1063.0,9.4,7.8,7.9,70.0,270.0,0.817,9.03,9.59,0.82,0.76,1.0,92.0,HWKN (self),9.34,39.27,70.35,-73.5,-93.7,-52.5,-276.8,2.1,1.4,3yr_cagr,11.0,3yr_avg,4.58,3yr_avg,3.5,3yr_avg,26.4,3yr_avg,11.0,59.0,19.4,False,188.0,buy,3
MYRG,MYR Group Inc.,Industrials,Engineering & Construction,258.89,4019.0,4126.0,41.89159,24.293707,18.007,3658.0,4.7,3.2,17.3,231.0,-47.0,1.111,11.05,11.05,1.11,1.11,1.0,100.0,MYRG (self),14.57,63.58,124.15,-75.4,-94.4,-52.0,-307.2,5.7,3.7,3yr_cagr,2.9,3yr_avg,2.38,3yr_avg,1.83,3yr_avg,29.7,3yr_avg,14.0,87.0,26.4,True,287.83334,buy,6
DOCU,"DocuSign, Inc.",Technology,Software - Application,48.22,9656.0,8970.0,33.716785,11.715038,28.174,3159.0,10.4,9.6,8.4,1175.0,-689.0,1.064,10.82,10.82,1.06,1.06,1.0,100.0,DOCU (self),5.49,10.92,18.52,-77.4,-88.6,-61.6,-341.5,8.8,5.7,3yr_cagr,2.5,3yr_avg,3.23,3yr_avg,3.5,3yr_avg,21.0,3yr_avg,20.0,77.0,36.4,True,78.27556,hold,18
VICR,Vicor Corporation,Technology,Electronic Components,164.66,7396.0,7859.0,62.84542,39.234676,124.965,408.0,15.1,29.1,11.5,49.0,-396.0,1.916,15.08,15.08,1.92,1.92,1.0,100.0,VICR (self),12.65,18.78,24.96,-88.6,-92.3,-84.8,-776.8,2.0,1.3,3yr_cagr,8.7,3yr_avg,10.29,3yr_avg,4.3,3yr_avg,11.2,3yr_avg,20.0,92.0,48.3,True,208.75,strong_buy,4
KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,122.54,1986.0,3115.0,18.100443,13.4354315,10.11,3373.0,6.4,3.3,21.4,-77.0,1094.0,1.387,9.63,12.93,1.39,0.97,1.5,64.0,KALU (self),-51.98,13.63,86.72,-88.9,-142.4,-29.2,-799.0,4.5,2.9,3yr_cagr,4.6,3yr_avg,4.89,3yr_avg,3.67,3yr_avg,22.9,3yr_avg,11.0,74.0,16.9,False,124.5,hold,2
MASI,Masimo Corporation,Healthcare,Medical Devices,175.49,9426.0,9565.0,45.819847,26.722439,27.7,1527.0,18.5,-9.9,12.0,316.0,407.0,1.248,11.42,11.74,1.25,1.21,1.0,96.0,MASI (self),6.01,19.04,32.71,-89.2,-96.6,-81.4,-821.7,2.0,1.3,3yr_cagr,6.7,3yr_avg,3.16,3yr_avg,5.47,3yr_avg,16.7,3yr_avg,18.0,53.0,33.2,False,178.6,none,5
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,198.7,3962.0,3831.0,32.414356,20.491571,47.315,268.0,33.6,46.4,39.4,87.0,-282.0,1.035,10.67,10.67,1.03,1.03,1.0,100.0,LGND (self),4.21,12.19,20.04,-93.9,-97.9,-89.9,-1530.0,2.0,1.3,3yr_cagr,7.6,3yr_avg,20.63,3yr_avg,4.0,sector_default,15.5,3yr_avg,18.0,-403.0,,False,244.55556,strong_buy,9
SMTC,Semtech Corporation,Technology,Semiconductors,85.2,7884.0,8400.0,152.14285,39.613903,50.783,1027.0,11.9,2.8,12.7,126.0,342.0,2.035,15.5,15.68,2.04,1.97,1.0,96.0,SMTC (self),-1.39,0.75,3.44,-99.1,-101.6,-96.0,-11260.0,9.6,6.3,3yr_cagr,1.3,3yr_avg,2.96,3yr_avg,6.68,3yr_avg,22.1,3yr_avg,20.0,32.0,,False,90.38462,strong_buy,13
FRPT,"Freshpet, Inc.",Consumer Defensive,Packaged Foods,83.31,4087.0,4396.0,31.556816,43.43949,23.937,1102.0,15.6,12.6,8.6,-3.0,217.0,1.673,13.28,13.87,1.67,1.61,1.0,95.0,FRPT (self),-33.72,-30.22,-20.29,-136.3,-140.5,-124.4,,19.9,12.9,3yr_cagr,2.3,3yr_avg,21.27,3yr_avg,7.77,3yr_avg,21.0,us_default,15.0,-39.0,,False,86.93333,buy,15
